frame,running,walking,idle,S,dS,p_iw,p_wi,p_iwr,p_ri,fps
222,0,0.24,0.76,0.6036792,0.00182718,0.1834577,0.868096,0,1,118.1427
223,0,0.18,0.82,0.6081703,0.004491031,0.1620353,0.8715915,0,1,118.1382
224,0,0.1,0.9,0.6088408,0.0006704926,0.1068509,0.8925722,0,1,131.7189
225,0,0.18,0.82,0.6058897,-0.002951086,0.1728912,0.7848392,0,1,134.6311
226,0,0.26,0.74,0.6014246,-0.004465044,0.2329786,0.7034338,0,1,138.673
227,0,0.22,0.78,0.6018016,0.0003769994,0.2252681,0.7336388,0,1,132.2721
228,0,0.16,0.84,0.6024095,0.0006078482,0.161898,0.8588201,0,1,121.7647
229,0,0.12,0.88,0.6004118,-0.001997709,0.1289344,0.8410439,0,1,126.894
230,0,0.2,0.8,0.5990707,-0.001341045,0.1607752,0.8142633,0,1,131.591
231,0,0.12,0.88,0.5967225,-0.002348244,0.1648663,0.8075861,0,1,128.5367
232,0,0.14,0.86,0.5987421,0.002019644,0.1766957,0.8021793,0,1,146.3887
233,0,0.2,0.8,0.5993087,0.0005665421,0.1817285,0.8123966,0,1,136.5713
234,0,0.18,0.82,0.5990542,-0.0002544522,0.1563811,0.7778375,0,1,142.2477
235,0,0.22,0.78,0.602523,0.003468752,0.1864587,0.8076019,0,1,137.1058
236,0,0.2,0.8,0.6013588,-0.001164138,0.176414,0.8254482,0,1,140.0119
237,0,0.24,0.76,0.6007321,-0.0006267428,0.1873814,0.7851672,0,1,123.9726
238,0,0.28,0.72,0.6028423,0.002110243,0.2417236,0.7257366,0,1,133.3356
239,0,0.24,0.76,0.6059707,0.00312835,0.2170582,0.7713066,0,1,129.0635
